PROVINSI,KABUPATEN,KECAMATAN,KODE,KELURAHAN,Jumlah_Penduduk,Umur 0 - 1,Umur 2 - 4,Umur 5 - 9,Umur 10 - 14,Umur 15 - 19,Umur 20 - 24,Umur 25 - 29,Umur 30 - 34,Umur 35 - 39,Umur 40 - 44,Umur 45 - 49,Umur 50 - 54,Umur 55 - 59,Umur 60 - 64,Umur 65 - 69,Umur 70 - 74,Umur 75+
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,1006,BAMBALAMOTU,1994,52,111,205,217,263,186,157,129,142,135,107,115,76,46,19,20,14
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,2003,POLEWALI,1712,20,96,188,172,213,166,125,107,126,125,107,100,58,53,21,21,14
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,2004,RANDOMAYANG,2029,59,122,209,228,248,222,139,142,162,149,104,74,49,69,23,16,14
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,2007,PANGIANG,1199,36,64,120,119,147,106,89,90,98,86,71,60,39,32,15,16,11
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,2008,KALOLA,1968,47,111,187,239,266,224,174,120,129,134,102,96,60,43,11,9,16
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,2009,WULAI,1039,0,53,97,110,118,107,92,88,80,79,64,53,25,32,18,13,10
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,1001,PASANGKAYU,5896,57,360,657,715,611,502,385,375,523,501,400,322,211,127,71,48,31
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,1002,MARTAJAYA,795,12,28,64,58,70,86,54,59,53,58,58,58,38,35,26,15,23
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,2010,PAKAVA,1220,32,58,147,130,149,128,78,100,110,93,71,53,38,19,7,4,3
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,2014,KARYA BERSAMA,1120,0,67,133,107,132,133,118,100,65,66,60,50,39,20,13,5,12
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,2015,AKO,1645,26,79,166,187,194,153,123,115,130,132,107,87,60,41,22,14,9
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,2016,GUNUNG SARI,1482,0,74,160,164,159,129,93,114,131,125,106,101,57,28,21,7,13
SULAWESI BARAT,PASANGKAYU,BARAS,1001,BARAS,1041,0,45,98,100,129,115,96,79,64,59,61,68,45,32,22,19,9
SULAWESI BARAT,PASANGKAYU,BARAS,2002,BALANTI,1292,1,53,109,136,127,128,103,113,114,96,80,79,68,40,21,8,16
SULAWESI BARAT,PASANGKAYU,BARAS,2003,MOTU,2512,30,136,273,267,242,205,155,205,206,214,190,166,105,60,26,17,15
SULAWESI BARAT,PASANGKAYU,BARAS,2012,BULU PARIGI,706,0,23,73,85,79,74,61,49,53,58,46,32,28,19,12,6,8
SULAWESI BARAT,PASANGKAYU,BARAS,2013,TOWONI,460,0,17,55,47,55,53,28,27,30,45,26,28,19,11,9,6,4
SULAWESI BARAT,PASANGKAYU,BARAS,2016,KASANO,1804,5,62,158,184,185,182,154,136,167,116,114,122,74,57,37,19,32
SULAWESI BARAT,PASANGKAYU,SARUDU,2001,SARUDU,2632,74,149,254,306,272,268,221,175,190,170,165,154,93,66,32,22,21
SULAWESI BARAT,PASANGKAYU,SARUDU,2003,BULU MARIO,1912,57,117,193,194,192,185,174,128,121,115,126,128,85,51,21,16,9
SULAWESI BARAT,PASANGKAYU,SARUDU,2005,KUMASARI,953,0,65,109,95,71,90,64,87,80,86,49,54,46,31,12,6,8
SULAWESI BARAT,PASANGKAYU,SARUDU,2011,PATIKA,350,0,19,45,50,42,30,18,18,26,23,22,26,8,12,6,3,2
SULAWESI BARAT,PASANGKAYU,SARUDU,2012,DODA,1251,38,79,138,129,135,132,87,85,97,82,64,79,49,34,15,3,5
SULAWESI BARAT,PASANGKAYU,DAPURANG,2001,DAPURANG,2035,21,124,205,244,225,167,165,113,169,146,120,138,75,60,25,19,19
SULAWESI BARAT,PASANGKAYU,DAPURANG,2002,BENGGAULU,1661,10,71,177,206,198,146,129,104,124,103,107,128,59,38,21,15,25
SULAWESI BARAT,PASANGKAYU,DAPURANG,2003,TIRTABUANA,580,11,31,64,48,51,57,37,42,36,45,49,45,25,16,16,3,4
SULAWESI BARAT,PASANGKAYU,DAPURANG,2004,BULU BONGGU,1233,0,42,123,148,175,141,88,64,72,94,95,77,36,32,17,12,17
SULAWESI BARAT,PASANGKAYU,DAPURANG,2005,SARASA,983,0,49,112,107,116,113,75,66,75,71,61,48,30,26,18,5,11
SULAWESI BARAT,PASANGKAYU,DURIPOKU,2001,TAMMARUNANG,1260,35,59,146,130,130,122,99,78,82,100,80,82,58,25,21,8,5
SULAWESI BARAT,PASANGKAYU,DURIPOKU,2002,SAPTANAJAYA,865,29,55,75,81,79,72,78,68,75,62,51,60,31,27,9,11,2
SULAWESI BARAT,PASANGKAYU,DURIPOKU,2003,TARANGGI,520,0,22,43,71,68,67,39,33,36,42,28,27,21,9,9,1,4
SULAWESI BARAT,PASANGKAYU,DURIPOKU,2004,SIPAKAINGA,378,2,24,44,34,40,32,29,25,29,33,30,17,13,11,6,6,3
SULAWESI BARAT,PASANGKAYU,BULU TABA,2001,LILIMORI,1409,8,78,161,146,138,123,99,104,91,106,81,85,70,59,25,20,15
SULAWESI BARAT,PASANGKAYU,BULU TABA,2002,KARAVE,1259,0,60,132,120,112,124,97,92,103,84,76,75,64,57,31,14,18
SULAWESI BARAT,PASANGKAYU,BULU TABA,2003,BUKIT HARAPAN,639,16,33,75,75,58,59,53,52,44,46,42,34,15,20,7,6,4
SULAWESI BARAT,PASANGKAYU,BULU TABA,2004,KASTABUANA,690,5,28,60,61,72,74,57,44,37,56,62,60,32,18,5,13,6
SULAWESI BARAT,PASANGKAYU,BULU TABA,2005,SUMBER SARI,116,0,5,5,8,10,11,15,8,8,7,8,12,8,7,1,2,1
SULAWESI BARAT,PASANGKAYU,BULU TABA,2006,LELEJAE,699,0,23,70,72,68,72,62,50,48,52,39,58,36,19,9,13,8
SULAWESI BARAT,PASANGKAYU,BULU TABA,2007,OMPI,370,0,19,40,46,43,28,25,18,36,28,25,24,14,10,5,5,4
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,2001,TIKKE,1517,0,59,157,158,170,147,115,119,123,114,112,95,55,39,24,18,12
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,2002,MAKMUR JAYA,2132,92,146,230,221,214,169,162,177,164,177,149,110,49,35,13,8,16
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,2003,LARIANG,1918,44,112,222,168,192,191,155,159,149,143,130,97,60,44,21,15,16
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,2004,PAJALELE,1339,0,71,116,151,154,113,104,135,118,122,94,68,37,23,16,5,12
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,2005,JENGENG RAYA,1147,32,64,135,132,130,92,76,75,94,77,68,75,41,20,18,9,9
SULAWESI BARAT,PASANGKAYU,PEDONGGA,2001,MALEI,817,0,51,83,79,81,67,59,76,64,67,42,51,26,25,25,14,7
SULAWESI BARAT,PASANGKAYU,PEDONGGA,2002,PEDANDA,627,0,28,60,49,59,40,57,50,42,39,49,44,35,25,19,17,14
SULAWESI BARAT,PASANGKAYU,PEDONGGA,2003,BATU OGE,494,0,23,56,50,50,38,51,40,38,36,33,32,16,11,10,5,5
SULAWESI BARAT,PASANGKAYU,PEDONGGA,2004,MARTASARI,1345,0,58,130,136,153,122,102,114,114,100,101,71,47,42,24,14,17
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,2001,BAMBAIRA,1389,40,93,130,154,161,160,94,86,110,80,95,61,52,29,15,15,14
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,2002,KASOLOANG,1054,34,54,101,105,118,103,85,86,56,84,70,60,30,29,21,7,11
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,2003,TAMPAURE,1055,0,32,99,113,137,139,75,58,51,80,84,68,45,28,25,8,13
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,2004,KALUKU NANGKA,1411,38,79,167,153,191,152,113,95,96,94,79,51,36,24,21,13,9
SULAWESI BARAT,PASANGKAYU,SARJO,2001,SARJO,1218,0,67,119,116,150,151,99,75,92,91,62,62,42,23,20,27,22
SULAWESI BARAT,PASANGKAYU,SARJO,2002,MAPONU,630,0,29,59,68,78,73,66,40,47,40,30,32,15,25,13,9,6
SULAWESI BARAT,PASANGKAYU,SARJO,2003,LETAWA,973,0,41,97,114,125,105,90,61,69,74,53,58,17,29,9,7,24
SULAWESI BARAT,PASANGKAYU,SARJO,2004,SARUDE,1141,0,58,98,103,149,132,109,94,69,83,50,54,48,43,19,18,14
SULAWESI BARAT,PASANGKAYU,LARIANG,2001,PARABU,514,0,30,44,47,49,57,45,44,28,35,35,37,38,12,8,4,1
