PROVINSI,KABUPATEN,KECAMATAN,KODE,KELURAHAN,Jumlah_Penduduk,Umur 0 - 1,Umur 2 - 4,Umur 5 - 9,Umur 10 - 14,Umur 15 - 19,Umur 20 - 24,Umur 25 - 29,Umur 30 - 34,Umur 35 - 39,Umur 40 - 44,Umur 45 - 49,Umur 50 - 54,Umur 55 - 59,Umur 60 - 64,Umur 65 - 69,Umur 70 - 74,Umur 75+
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,1006,BAMBALAMOTU,1845,34,105,158,188,218,203,144,130,140,167,100,89,51,48,20,30,20
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,2003,POLEWALI,1645,19,79,171,142,182,157,147,145,142,119,105,86,48,40,27,16,20
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,2004,RANDOMAYANG,1900,59,110,210,218,242,166,144,123,174,123,96,83,54,49,20,16,13
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,2007,PANGIANG,1153,26,55,129,118,130,105,94,81,88,81,61,55,44,32,29,9,16
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,2008,KALOLA,1721,61,112,159,165,235,212,118,130,120,106,101,84,56,29,14,12,7
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,2009,WULAI,946,0,39,104,88,118,115,73,78,79,70,66,46,26,23,10,6,5
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,1001,PASANGKAYU,5897,57,336,690,683,612,464,405,509,586,511,385,278,175,99,41,27,39
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,1002,MARTAJAYA,797,5,37,53,64,65,103,72,54,60,69,49,58,35,27,18,11,17
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,2010,PAKAVA,1074,29,62,95,118,127,119,97,87,97,75,68,56,19,19,3,2,1
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,2014,KARYA BERSAMA,1008,0,67,117,101,105,139,109,68,84,70,49,33,29,17,5,8,7
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,2015,AKO,1521,32,71,159,145,173,156,120,130,133,120,101,62,52,27,17,13,10
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,2016,GUNUNG SARI,1419,1,58,141,159,172,132,109,124,141,132,99,64,24,23,10,17,13
SULAWESI BARAT,PASANGKAYU,BARAS,1001,BARAS,964,0,34,80,104,111,101,75,76,77,70,76,52,42,22,17,12,15
SULAWESI BARAT,PASANGKAYU,BARAS,2002,BALANTI,1156,3,43,119,106,122,118,97,108,83,93,92,73,37,29,18,9,6
SULAWESI BARAT,PASANGKAYU,BARAS,2003,MOTU,2433,35,147,258,258,240,233,186,195,219,227,167,129,64,36,14,17,8
SULAWESI BARAT,PASANGKAYU,BARAS,2012,BULU PARIGI,643,0,21,61,77,69,59,60,56,62,53,34,30,22,11,13,6,9
SULAWESI BARAT,PASANGKAYU,BARAS,2013,TOWONI,393,0,7,32,54,45,45,31,35,39,28,31,18,12,6,2,3,5
SULAWESI BARAT,PASANGKAYU,BARAS,2016,KASANO,1798,0,60,159,200,201,202,160,144,155,128,139,94,64,34,31,7,20
SULAWESI BARAT,PASANGKAYU,SARUDU,2001,SARUDU,2587,57,149,283,269,278,310,226,170,215,179,165,124,71,42,23,14,12
SULAWESI BARAT,PASANGKAYU,SARUDU,2003,BULU MARIO,1864,61,105,175,189,179,201,167,150,133,130,139,93,61,43,13,13,12
SULAWESI BARAT,PASANGKAYU,SARUDU,2005,KUMASARI,897,0,41,83,98,77,91,88,78,98,63,48,59,30,26,6,9,2
SULAWESI BARAT,PASANGKAYU,SARUDU,2011,PATIKA,296,0,17,27,39,37,27,20,18,28,28,21,10,15,3,2,3,1
SULAWESI BARAT,PASANGKAYU,SARUDU,2012,DODA,1183,34,60,127,125,131,117,90,79,96,88,93,66,38,25,5,5,4
SULAWESI BARAT,PASANGKAYU,DAPURANG,2001,DAPURANG,1966,25,113,202,211,191,190,144,161,173,162,125,93,80,37,29,15,15
SULAWESI BARAT,PASANGKAYU,DAPURANG,2002,BENGGAULU,1534,5,75,129,173,196,159,137,113,121,125,98,79,46,28,16,13,21
SULAWESI BARAT,PASANGKAYU,DAPURANG,2003,TIRTABUANA,574,16,33,57,54,66,45,46,40,49,45,33,38,27,10,9,0,6
SULAWESI BARAT,PASANGKAYU,DAPURANG,2004,BULU BONGGU,1134,0,61,120,138,135,122,83,85,85,88,72,59,34,19,15,12,6
SULAWESI BARAT,PASANGKAYU,DAPURANG,2005,SARASA,890,0,39,79,95,107,93,77,74,78,67,55,43,34,23,12,8,6
SULAWESI BARAT,PASANGKAYU,DURIPOKU,2001,TAMMARUNANG,1262,30,82,149,149,129,123,93,93,104,104,66,62,39,21,6,5,7
SULAWESI BARAT,PASANGKAYU,DURIPOKU,2002,SAPTANAJAYA,799,22,48,81,77,73,83,75,69,63,55,57,43,29,10,6,5,3
SULAWESI BARAT,PASANGKAYU,DURIPOKU,2003,TARANGGI,434,0,23,50,39,57,52,30,39,36,28,27,23,13,7,4,3,3
SULAWESI BARAT,PASANGKAYU,DURIPOKU,2004,SIPAKAINGA,344,3,23,35,34,29,44,29,31,27,26,21,12,13,7,3,3,4
SULAWESI BARAT,PASANGKAYU,BULU TABA,2001,LILIMORI,1299,6,72,131,108,141,113,104,108,102,104,80,66,63,39,35,17,10
SULAWESI BARAT,PASANGKAYU,BULU TABA,2002,KARAVE,1173,0,45,106,116,121,118,105,90,96,93,66,66,62,31,28,17,13
SULAWESI BARAT,PASANGKAYU,BULU TABA,2003,BUKIT HARAPAN,603,11,40,67,74,62,65,50,55,52,33,30,29,15,8,7,5,0
SULAWESI BARAT,PASANGKAYU,BULU TABA,2004,KASTABUANA,644,13,29,54,69,62,63,46,44,54,51,56,50,19,13,10,7,4
SULAWESI BARAT,PASANGKAYU,BULU TABA,2005,SUMBER SARI,125,0,5,9,17,11,10,13,7,7,7,16,11,4,2,0,4,2
SULAWESI BARAT,PASANGKAYU,BULU TABA,2006,LELEJAE,640,0,26,61,59,58,68,57,49,58,43,48,47,24,17,9,9,7
SULAWESI BARAT,PASANGKAYU,BULU TABA,2007,OMPI,345,0,25,48,39,32,29,36,31,22,21,19,17,10,8,4,3,1
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,2001,TIKKE,1495,0,71,153,147,176,153,120,125,115,109,99,86,57,40,20,9,15
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,2002,MAKMUR JAYA,2121,74,142,215,214,203,238,199,199,179,153,121,77,52,15,15,12,13
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,2003,LARIANG,1798,44,115,191,194,180,189,191,127,147,116,98,79,48,33,19,12,15
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,2004,PAJALELE,1218,0,47,126,136,131,118,114,125,110,108,78,42,30,33,14,2,4
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,2005,JENGENG RAYA,1110,42,75,113,104,117,113,99,83,84,77,66,54,27,28,14,4,10
