PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,Sasaran,Persen_Ukur_Timbang,Stunting,Wasting,Underweight,BULAN
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,MAHAHE,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOBAJA,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,TOBADAK,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,PALONGAAN,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BATU PARIGI,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BAMBADARU,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SEJATI,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOADAK,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO PANGALE,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,PANGALE,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,SARTANAMAJU,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO LERENG,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KUO,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO CAMBA,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LAMBA-LAMBA,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KOMBILING,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LEMO-LEMO,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LUMU,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PONTANAKAYANG,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALOGATTA,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,KIRE,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,TINALI,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALUMANURUNG,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PASAPA,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BOJO,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BARAKKANG,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LEMBAH HADA,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BUDONG-BUDONG,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TOPOYO,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TUMBU,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,KABUBU,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,WAEPUTEH,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TANGKOU,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TABOLANG,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PARAILI,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG IV,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TAPPILINA,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BAMBAMANURUNG,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALULEKBO,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PANGALLOANG,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SINABATTA,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAROSSA,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,TASOKKO,0,0,0,0,0,JANUARI
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LARA,0,0,0,0,0,JANUARI
