PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,Nama_Sekolah,NPSN,Alamat,Status,Bentuk_Pendidikan,Latitude,Longitude,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALOGATTA,MI BABUL KHAIRAT SALOGATTA,69975775,DUSUN RINGIN REJO DESA SALOGATTA,SWASTA,MI,0,0,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,MIS ANSIH MADANI,60724282,JL. PENDIDIKAN,SWASTA,MI,-2.181134,119.566534,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PONTANAKAYANG,MIS IRFANURRAHMAN,60724284,Kompleks Masjid Al-Ikhlas Desa Pontanakayang,SWASTA,MI,-2.057926,119.657268,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALOGATTA,MTS BABUL KHAIRAT SALOGATTA,70045526,DUSUN RINGIN REJO RT 003 RW 003,SWASTA,MTs,0,0,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BARAKKANG,MTSS AL-MUNAWWARAH LUMU,40605867,DESA BARAKKANG BUDONG-BUDONG,SWASTA,MTs,-2.2096,119.2016,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,MTsS AN-NAHDHAH PONTANAKAYANG,69788501,JL. KI HAJAR DEWANTARA RT.01/RW.03,SWASTA,MTs,-2.1602,119.26,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,MTSS ANSIH MADANI,40605868,JL.PENDIDIKAN DESA BABANA BUDONG-BUDONG,SWASTA,MTs,-2.066522,119.542657,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,MTSS NURUL ILMI,40605871,DESA BABANA BUDONG-BUDONG,SWASTA,MTs,-2.0929,119.2324,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BARAKKANG,UPTD SD INPRES BARAKKANG,40600326,Barakkang,NEGERI,SD,-2.210625,119.206629,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,KIRE,UPTD SD INPRES KIRE,40604297,DESA KIRE,NEGERI,SD,-2.1355,119.1901,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,UPTD SD INPRES PANGGAJOANG,40600475,Panggajoang,NEGERI,SD,-2.1027,119.2029,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PONTANAKAYANG,UPTD SD INPRES PIR PONTANAKAYANG,40600461,Pontanakayang,NEGERI,SD,-2.1613,119.2615,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PONTANAKAYANG,UPTD SD INPRES PONTANAKAYYANG,40600473,Pontanakayang,NEGERI,SD,-2.1621,119.2644,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LUMU,UPTD SD INPRES PUJI,40600474,Dusun Lumu,NEGERI,SD,-2.2015,119.1552,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,KIRE,UPTD SD INPRES RANTEKOMBILING,40600505,Rantekombiling,NEGERI,SD,-2.1396,119.2218,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALUGATTA,UPTD SD INPRES SALUGATTA,40600502,Salugatta,NEGERI,SD,-2.176,119.2298,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALUMANURUNG,UPTD SD INPRES SALUMANURUNG,40600491,Salumanurung,NEGERI,SD,-2.1805,119.1954,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,TINALI,UPTD SD INPRES TINALI,40600422,Tinali,NEGERI,SD,-2.1857,119.2304,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,UPTD SD NEGERI 2 BUDONG-BUDONG,40600144,Karondang,NEGERI,SD,-2.0927,119.2216,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LEMBAH HADA,UPTD SD NEGERI BERINGIN INDAH,40604324,Jl. Pendidikan,NEGERI,SD,-2.1845,119.2779,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LUMU,UPTD SD NEGERI KAMANSI,40600172,Dusun Kamansi,NEGERI,SD,-2.1627,119.1752,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BOJO,UPTD SD NEGERI KECIL BOJO,40600168,Bojo,NEGERI,SD,-2.1984,119.2806,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,UPTD SD NEGERI KECIL BULUREMBU,40600170,Bulurembu,NEGERI,SD,-2.1016,119.2544,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALUGATTA,UPTD SD NEGERI KECIL BUNGA PADI,40600171,kilo meter 10,NEGERI,SD,-2.0942,119.2749,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,UPTD SD NEGERI KECIL LEMBAH HARAPAN,40600204,Lembah Harapan,NEGERI,SD,-2.1242,119.2492,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PASAPA,UPTD SD NEGERI KECIL SAMPOLOTU,69787985,JL.Tanete Kalasoppeng,NEGERI,SD,-2.1897,119.359,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BOJO,UPTD SD NEGERI KECIL SIMBAR ALLO,40600102,Rawa Indah Tengah,NEGERI,SD,-2.169,119.3092,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LUMU,UPTD SD NEGERI LUMU,40600147,Lumu,NEGERI,SD,-2.1878,119.158,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,UPTD SD NEGERI NO 1 BUDONG-BUDONG,40600142,Babana,NEGERI,SD,-2.0805,119.1974,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PASAPA,UPTD SD NEGERI PASSAPA,40600189,Pasapa,NEGERI,SD,-2.1845,119.3301,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,UPTD SD NEGERI SIKEANG,40600307,Sikeang,NEGERI,SD,-2.1543,119.1879,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BOJO,UPTD SD NEGERI TANAH MERAH,40605272,Tanah Merah,NEGERI,SD,-2.1911,119.3067,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PASAPA,UPTD SDK RANTE MARIO,40604542,Pasapa,NEGERI,SD,-2.1942,119.3427,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BOJO,UPTD SMP NEGERI 4 BUDONG-BUDONG,40605463,Rawa Indah,NEGERI,SMP,-2.1691,119.3096,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,UPTD SMP NEGERI 1 BUDONG-BUDONG,40600250,Jln. Pendidikan Desa Babana Kecamatan Budong - Budong Mamuju Tengah,NEGERI,SMP,-2.0841,119.2013,
