PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,Nama_Sekolah,NPSN,Alamat,Status,Bentuk_Pendidikan,Latitude,Longitude
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LUMU,SMKS SALUMANURUNG,69774916,SALUMANURUNG,SWASTA,SMK,-2.1625,119.3095
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,KIRE,SMKN 1 BUDONG BUDONG,69786950,Dusun Rantekombiling,NEGERI,SMK,-2.1374,119.2238
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALUGATTA,SMAN 3 BUDONG-BUDONG,60728421,Jalan Pendidikan,NEGERI,SMA,-2.1766,119.2302
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LUMU,SMAN 2 BUDONG-BUDONG,60728430,Jl. Poros Babana-Lumu,NEGERI,SMA,-2.1731,119.1663
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,SMAN 1 BUDONG-BUDONG,40600230,JL. PENDIDIKAN BABANA,NEGERI,SMA,-2.0851,119.2029
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PONTANAKAYANG,MAS AN-NAHDHAH,40605967,JL. KIHAJAR DEWANTARA RT. 01/RW.03,SWASTA,MA,-2.1605,119.2599
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BARAKKANG,MAS Al-Chaeriyah Ma`arif Barakkang,69889101,Jln. Trans Sulawesi,SWASTA,MA,-2.1508,119.2451
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,MA NURUL ILMI,70025982,Jln. Poros Polohu Babana Dusun Karondang Desa Babana,SWASTA,MA,-2.08681207036116,119.233653539959
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,TASOKKO,MAS AL-AMANAH WAIKAYA,60404204,WAIKAYA DESA TASOKKO KOROSSA,SWASTA,MA,-1.8924,119.3626
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAROSSA,MAS AL-MAARIF,69788086,KPP. LOTU RT 01 RW 01 DESA KAROSSA,SWASTA,MA,-1.8003,119.4055
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAROSSA,MAS KAROSSA,69734324,DUSUN DURIKUMBA DESA KAROSSA,SWASTA,MA,-1.8002,119.3951
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAROSSA,SMAN 1 KAROSSA,40605623,"JL. LARA III, DUSUN LOTU",NEGERI,SMA,-1.8037,119.3927
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,TASOKKO,SMAN 2 KAROSSA,60728425,Tomemba,NEGERI,SMA,-1.9238,119.3571
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAROSSA,SMKN KAROSSA,40600211,MORA KM. 6 KAROSSA,NEGERI,SMK,-1.802,119.3914
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LARA,SMKS BINA HARAPAN,69940183,Jl. Poros Lara,SWASTA,SMK,-1.8644,119.8549
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BUDONG-BUDONG,MA NURUL HASAN TUMBU,69849494,JL.Poros Topoyo Tumbu,SWASTA,MA,-2.0243,119.2388
