PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,SUNTIK,PIL,KONDOM,IMPLAN,IUD,VASEKTOMI,TUBEKTOMI,MAL,PUS,PUS_KB,PUS_TIDAK_KB,PB,PA,MKJP,KBPP,UNMET_NEED,BULAN,
SULAWESI BARAT,MAJENE,BANGGAE,BANGGAE,120,100,20,91,47,1,20,0,615,,110,,399,159,,17.8861788617886,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE,BARU,174,160,18,122,15,0,23,1,888,,107,,513,160,,12.0495495495496,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE,GALUNG,47,58,29,43,23,0,30,0,484,,152,,230,96,,31.404958677686,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE,PALIPI SOREANG,103,66,21,40,11,0,6,0,405,,49,,247,57,,12.0987654320988,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE,PAMBOBORANG,64,121,21,55,15,0,20,0,411,,27,,299,90,,6.56934306569343,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE,PANGALI ALI,327,336,7,165,80,2,35,0,1398,,83,,952,282,,5.93705293276109,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE,RANGAS,410,414,19,162,42,1,14,0,1412,,69,,1062,219,,4.88668555240793,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE,TOTOLI,136,171,17,101,14,1,14,0,882,,147,,455,130,,16.6666666666667,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA,50,28,44,36,15,0,7,0,280,,11,,209,58,,3.92857142857143,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA DHUA,50,38,28,18,1,0,2,0,228,,16,,148,21,,7.01754385964912,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BAURUNG,291,53,31,144,8,1,5,1,867,,82,,534,158,,9.45790080738178,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BUTTU BARUGA,34,17,1,37,0,0,3,0,169,,15,,93,40,,8.87573964497041,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG,57,33,22,94,7,2,15,0,580,,174,,232,118,,30,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG UTARA,107,59,12,42,20,2,13,0,662,,223,,256,77,,33.6858006042296,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LEMBANG,115,111,15,67,32,0,16,0,961,,331,,359,115,,34.4432882414152,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE,31,36,25,24,2,0,3,0,200,,19,,134,29,,9.5,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE TIMUR,58,25,8,28,9,0,7,0,316,,44,,135,44,,13.9240506329114,JANUARI,
SULAWESI BARAT,MAJENE,MALUNDA,BAMBANGAN,74,64,3,16,1,0,1,0,315,,31,,159,18,,9.84126984126984,JANUARI,
SULAWESI BARAT,MAJENE,MALUNDA,KAYUANGIN,82,36,8,9,6,0,9,0,276,,19,,156,24,,6.88405797101449,JANUARI,
