KABUPATEN,KECAMATAN,KELURAHAN,No. Registrasi,NAMA_FASKES,Belum,Sudah
MAJENE,BANGGAE,BANGGAE,7605001,PUSKESMAS BANGGAE I,5,1
MAJENE,BANGGAE,BARU,7605002,PKBRS MAJENE,13,1
MAJENE,BANGGAE,BARU,7605031,PMB NURDIANA,2,1
MAJENE,BANGGAE,BARU,760500201,PRAKTEK MANDIRI BIDAN (PMB) NURRAHMI,3,1
MAJENE,BANGGAE,BARU,760500706,PUSTU TEPPO,1,1
MAJENE,BANGGAE,PALIPI SOREANG,760500702,POSKESDES SOREANG,3,1
MAJENE,BANGGAE,PAMBOBORANG,760500704,POSKESDES KONJA,1,2
MAJENE,BANGGAE,PAMBOBORANG,760500705,POSKESDES GALUNG PAARA,2,1
MAJENE,BANGGAE,PANGALI ALI,760500101,PUSTU PANGALI-ALI,0,2
MAJENE,BANGGAE,PANGALI ALI,760500102,POSKESDES RUSUNG,1,0
MAJENE,BANGGAE,PANGALI ALI,760500103,BPM ADRIANI,2,0
MAJENE,BANGGAE,PANGALI ALI,760500104,BPM NUR FAISAH,1,0
MAJENE,BANGGAE,RANGAS,7605025,PRAKTEK MANDIRI BIDAN NOPI WINARTI,4,1
MAJENE,BANGGAE,TOTOLI,7605007,PUSKESMAS TOTOLI,3,5
MAJENE,BANGGAE,TOTOLI,7605024,PMB HJ.MARYAM,0,3
MAJENE,BANGGAE,TOTOLI,760500703,POSKESDES KALASA,2,0
MAJENE,BANGGAE,TOTOLI,760500707,PRAKTEK BIDAN MANDIRI NURHAYATI N,3,0
MAJENE,BANGGAE TIMUR,BARUGA DHUA,760500304,Poskesdes Segeri,0,1
MAJENE,BANGGAE TIMUR,BARUGA DHUA,760500305,Pustu Baruga Dhua,1,0
MAJENE,BANGGAE TIMUR,BAURUNG,760501401,PUSTU TAMO,0,1
MAJENE,BANGGAE TIMUR,BAURUNG,760501402,POSKESDES BAURUNG,4,0
MAJENE,BANGGAE TIMUR,BUTTU BARUGA,760500306,Poskesdes Buttu Baruga,1,0
MAJENE,BANGGAE TIMUR,LABUANG UTARA,7605003,Puskesmas Banggae II,2,2
MAJENE,BANGGAE TIMUR,LABUANG UTARA,7605023,PMB JENI,2,1
MAJENE,BANGGAE TIMUR,LABUANG UTARA,760502201,PMB USWATI,2,2
MAJENE,BANGGAE TIMUR,LEMBANG,7605014,PUSKESMAS LEMBANG,6,1
MAJENE,BANGGAE TIMUR,LEMBANG,760501403,"PRAKTEK MANDIRI BIDAN ASMUNI, Amd. Keb",0,1
MAJENE,BANGGAE TIMUR,TANDE,760500302,Pustu Tande,1,0
MAJENE,BANGGAE TIMUR,TANDE,760500303,Poskesdes Buttu Tande,1,0
MAJENE,MALUNDA,BAMBANGAN,760500806,PUSTU BAMBANGAN,1,0
MAJENE,MALUNDA,KAYUANGIN,760500801,POSKESDES KAYUANGIN,1,0
MAJENE,MALUNDA,LAMUNGANG BATU,7605008,PUSKESMAS MALUNDA,0,8
MAJENE,MALUNDA,LOMBANG,760500809,PUSTU LOMBANG,1,0
MAJENE,MALUNDA,LOMBANG TIMUR,760500811,POSKESDES LOMBANG TIMUR,1,0
MAJENE,MALUNDA,LOMBONG,760500802,PUSTU LOMBONG,1,0
