PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,LATITUDE,LONGITUDE,PUS,Kampung KB,Rumah DataKU,BKB,BKR,BKL,UPPKA,PIK-R,BULAN,
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,MAHAHE,-2.122958,119.365442,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOBAJA,-2.156691,119.336074,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,TOBADAK,-2.104302,119.491646,1,Ada,Ada,Ada,Ada,Ada,Ada,Tidak ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,PALONGAAN,-2.105264,119.40054,1,Ada,Ada,Ada,Ada,Ada,Tidak ada,Tidak ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BATU PARIGI,-2.07222,119.538128,1,Ada,Ada,Ada,Tidak ada,Ada,Tidak ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BAMBADARU,-2.167875,119.37234,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SEJATI,-2.133079,119.56107,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOADAK,-2.150791,119.409562,1,Ada,Ada,Ada,Ada,Ada,Tidak ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO PANGALE,-2.276623,119.190498,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,PANGALE,-2.273746,119.188606,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,SARTANAMAJU,-2.261835,119.166387,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO LERENG,-2.23699,119.195861,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KUO,-2.246775,119.235157,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO CAMBA,-2.21521,119.17945,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LAMBA-LAMBA,-2.215995,119.158683,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KOMBILING,-2.259571,119.14427,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LEMO-LEMO,-2.295981,119.188293,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,-2.099924,119.231957,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LUMU,-2.174898,119.169027,1,Ada,Ada,Ada,Ada,Ada,Tidak ada,Tidak ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PONTANAKAYANG,-2.161947,119.268355,1,Tidak ada,Ada,Ada,Tidak ada,Ada,Tidak ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALOGATTA,-2.160618,119.233792,1,Ada,Ada,Ada,Tidak ada,Ada,Tidak ada,Tidak ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,KIRE,-2.136058,119.20719,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,TINALI,-2.185817,119.230014,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALUMANURUNG,-2.180959,119.197557,1,Ada,Ada,Ada,Ada,Ada,Tidak ada,Tidak ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PASAPA,-2.193205,119.335021,1,Tidak ada,Ada,Ada,Ada,Ada,Tidak ada,Tidak ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BOJO,-2.199544,119.29773,1,Ada,Ada,Ada,Ada,Ada,Tidak ada,Tidak ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BARAKKANG,-2.202677,119.21753,1,Ada,Ada,Ada,Ada,Ada,Tidak ada,Tidak ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LEMBAH HADA,-2.206564,119.25614,1,Tidak ada,Ada,Ada,Ada,Ada,Tidak ada,Tidak ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BUDONG-BUDONG,-2.050442,119.216864,1,Ada,Ada,Ada,Ada,Ada,Ada,Tidak ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TOPOYO,-2.044015,119.365096,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TUMBU,-2.015012,119.229686,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,KABUBU,-2.042255,119.260861,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,WAEPUTEH,-2.027062,119.267015,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TANGKOU,-2.045013,119.315755,1,Ada,Ada,Ada,Ada,Ada,Tidak ada,Tidak ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TABOLANG,-2.049041,119.345903,1,Ada,Ada,Ada,Tidak ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PARAILI,-2.055796,119.252078,1,Ada,Ada,Ada,Ada,Ada,Tidak ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG,-2.025123,119.311563,1,Ada,Ada,Ada,Ada,Ada,Tidak ada,Tidak ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG IV,-1.99808,119.282528,1,Ada,Ada,Ada,Ada,Ada,Ada,Ada,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TAPPILINA,-2.025483,119.285845,1,Ada,Ada,Ada,Ada,Ada,Tidak ada,Tidak ada,JANUARI,
