PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,LUAS_WILAYAH,JUMLAH_PENDUDUK,KEPADATAN_PENDUDUK,KRS,BPJS,IDM
SULAWESI BARAT,MAJENE,BANGGAE,BANGGAE,2.27,4551,2004.85,190,609,
SULAWESI BARAT,MAJENE,BANGGAE,BARU,2.46,5625,2286.59,535,223,
SULAWESI BARAT,MAJENE,BANGGAE,GALUNG,2.14,3348,1564.49,329,478,
SULAWESI BARAT,MAJENE,BANGGAE,PALIPI SOREANG,4.12,2346,569.42,162,241,MAJU
SULAWESI BARAT,MAJENE,BANGGAE,PAMBOBORANG,3.11,2442,785.21,217,335,MAJU
SULAWESI BARAT,MAJENE,BANGGAE,PANGALI ALI,4.49,9461,2107.13,540,698,
SULAWESI BARAT,MAJENE,BANGGAE,RANGAS,2.23,7945,3562.78,625,690,
SULAWESI BARAT,MAJENE,BANGGAE,TOTOLI,4.33,5459,1260.74,528,278,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA,6.28,1957,311.62,102,620,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA DHUA,7.69,1500,195.06,115,569,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BAURUNG,2.14,5066,2367.29,319,943,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BUTTU BARUGA,1.34,869,648.51,89,607,BERKEMBANG
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG,0.26,4512,17353.85,201,602,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG UTARA,1.15,4934,4290.43,362,976,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LEMBANG,2.71,6313,2329.52,406,486,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE,4.82,1549,321.37,116,753,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE TIMUR,3.65,2048,561.1,102,813,
SULAWESI BARAT,MAJENE,MALUNDA,BAMBANGAN,4.63,1631,352.27,277,889,TERTINGGAL
SULAWESI BARAT,MAJENE,MALUNDA,KAYUANGIN,1.76,1655,940.34,133,672,BERKEMBANG
SULAWESI BARAT,MAJENE,MALUNDA,LAMUNGANG BATU,3.03,2005,661.72,194,419,
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG,12.83,1040,81.06,114,489,TERTINGGAL
