PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,JUMLAH_KELUARGA,JUMLAH_SASARAN,JUMLAH_KRS,PENERIMA_BAAS,PENERIMA_BANTUAN_PANGAN,JUMLAH_BALITA_STUNTING,SUMBER_AIR_MINUM,SANITASI,TERLALU_MUDA,TERLALU_TUA,TERLALU_DEKAT,TERLALU_BANYAK,KB_MODERN,CATIN_SASARAN,CATIN_TERDAMPINGI,CATIN_TIDAK_TERDAMPINGI,CATIN_BERESIKO,BUMIL_SASARAN,BUMIL_TERDAMPINGI,BUMIL_TIDAK_TERDAMPINGI,BUMIL_BERESIKO,PASCASALIN_SASARAN,PASCASALIN_TERDAMPINGI,PASCASALIN_TIDAK_TERDAMPINGI,PASCASALIN_BERESIKO,BADUTA_SASARAN,BADUTA_TERDAMPINGI,BADUTA_TIDAK_TERDAMPINGI,BADUTA_BERESIKO,BULAN,
SULAWESI BARAT,MAJENE,BANGGAE,BANGGAE,1283,636,190,,,,0,86,2,161,7,230,233,5,3,2,3,18,23,-5,23,17,0,17,0,36,0,36,0,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE,BARU,1544,904,535,,,,20,432,17,222,20,337,357,5,1,4,1,52,7,45,7,50,1,49,1,140,1,139,0,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE,GALUNG,908,503,329,,,,12,248,7,132,12,247,267,3,0,3,0,33,4,29,0,32,0,32,0,66,1,65,1,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE,PALIPI SOREANG,619,404,162,,,,7,129,10,79,8,161,128,2,0,2,0,28,2,26,2,27,0,27,0,95,0,95,0,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE,PAMBOBORANG,652,424,217,,,,81,164,8,94,11,183,106,2,0,2,0,25,0,25,0,24,0,24,0,100,0,100,0,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE,PANGALI ALI,2622,1463,540,,,,1,354,23,343,27,649,467,10,0,10,0,69,1,68,0,67,0,67,0,152,5,147,0,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE,RANGAS,2105,1454,625,,,,6,519,6,353,39,670,320,8,0,8,0,72,33,39,32,70,1,69,0,195,0,195,0,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE,TOTOLI,1424,906,528,,,,17,391,19,221,18,380,427,5,0,5,0,45,3,42,3,44,0,44,0,164,0,164,0,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA,527,291,102,,,,10,63,3,80,3,114,94,2,0,2,0,14,4,10,2,14,2,12,0,27,0,27,0,JANUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA DHUA,440,230,115,,,,66,42,4,52,4,90,77,1,0,1,0,22,6,16,6,21,0,21,0,36,3,33,2,JANUARI,
