PROVINSI,KABUPATEN,KECAMATAN,DESA_KELURAHAN,PUSKESMAS,LATITUDE,LONGITUDE
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,,PUSKESMAS BANGGAE TIMUR,-3.543621532,118.9858967
SULAWESI BARAT,MAJENE,BANGGAE,,PUSKESMAS BANGGAE,-3.538435728,118.967682
SULAWESI BARAT,MAJENE,BANGGAE,,PUSKESMAS BANGGAE,-3.523817122,118.9672433
SULAWESI BARAT,MAJENE,BANGGAE,TOTOLI,PUSKESMAS RANGAS TOTOLI,-3.560178576,118.9432523
SULAWESI BARAT,MAJENE,PAMBOANG,LALAMPANUA,PUSKESMAS PAMBOANG,-3.485792573,118.8975246
SULAWESI BARAT,MAJENE,SENDANA,,PUSKESMAS SENDANA,-3.375209243,118.8483119
SULAWESI BARAT,MAJENE,TAMMERRODDO,,PUSKESMAS TAMMERRODDO,-3.24328257,118.8414809
SULAWESI BARAT,MAJENE,TUBO,,PUSKESMAS TUBO,-3.119544795,118.7818297
SULAWESI BARAT,MAJENE,ULUMANDA,,PUSKESMAS ULUMANDA,-3.087568751,118.8354791
SULAWESI BARAT,MAJENE,MALUNDA,,PUSKESMAS MALUNDA,-3.014147065,118.8576795
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,,PUSKESMAS RANTEBULAHAN TIMUR,-2.986956422,119.2179897
SULAWESI BARAT,MAMASA,MEHALAAN,,PUSKESMAS MEHALAAN,-3.017132513,119.1948333
SULAWESI BARAT,MAMASA,MAMBI,,PUSKESMAS MAMBI,-2.946531871,119.1755786
SULAWESI BARAT,MAMASA,BAMBANG,,PUSKESMAS BAMBANG,-2.939067589,119.2370749
SULAWESI BARAT,MAMASA,SESENA PADANG,,PUSKESMAS SESENA PADANG,-2.987549524,119.3997114
SULAWESI BARAT,MAMASA,MAMASA,,PUSKESMAS MAMASA,-2.941884743,119.3775832
SULAWESI BARAT,MAMASA,TABANG,,PUSKESMAS TABANG,-2.969841721,119.5713388
SULAWESI BARAT,MAMASA,PANA,,PUSKESMAS PANA,-3.056010957,119.5609759
SULAWESI BARAT,MAMASA,NOSU,,PUSKESMAS NOSU,-3.125972955,119.4807574
SULAWESI BARAT,MAMASA,SUMARORONG,,PUSKESMAS SUMARORONG,-3.141022,119.3096899
SULAWESI BARAT,MAMASA,ARALLE,,PUSKESMAS ARALLE,-2.883936224,119.1510813
SULAWESI BARAT,MAMASA,TABULAHAN,,PUSKESMAS TABULAHAN,-2.679856401,119.1847197
SULAWESI BARAT,MAMASA,BALLA,,PUSKESMAS BALLA,-2.983395389,119.3253271
SULAWESI BARAT,MAMUJU,TAPPALANG,,PUSKESMAS TAPPALANG,-2.860759705,118.865424
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,,PUSKESMAS TAPALANG BARAT,-2.851485979,118.8301107
SULAWESI BARAT,MAMUJU,BOTTENG,,PUSKESMAS BOTTENG,-2.777694763,118.8645439
SULAWESI BARAT,MAMUJU,BINANGA,,PUSKESMAS BINANGA,-2.679286462,118.8964752
SULAWESI BARAT,MAMUJU,RANGAS SIMBORO,,PUSKESMAS RANGAS SIMBORO,-2.660716206,118.8519782
SULAWESI BARAT,MAMUJU,BAMBU,,PUSKESMAS BAMBU,-2.658227461,118.9316732
